ATC code_L1,href_L1,name_L1,ATC code_L2,href_L2,name_L2,ATC code_L3,href_L3,name_L3,ATC code_L4,href_L4,name_L4,ATC code_L5,Name_L5,DDD_L5,U_L5,Adm.R_L5,Note_L5,href_L5,flag_DDD
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB12,hexetidine,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB13,tetracycline,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB14,benzoxonium chloride,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB15,tibezonium iodide,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB16,mepartricin,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB19,sodium perborate,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB21,chlortetracycline,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB23,minocycline,1,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB24,octenidine,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB25,oxytetracycline,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB53,chlorhexidine and cetylpyridinium,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AC,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,Corticosteroids for local oral treatment,A01AC01,triamcinolone,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AC,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,Corticosteroids for local oral treatment,A01AC02,dexamethasone,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AC,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,Corticosteroids for local oral treatment,A01AC03,hydrocortisone,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AC,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,Corticosteroids for local oral treatment,A01AC04,prednisolone,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AC,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,Corticosteroids for local oral treatment,A01AC54,"prednisolone, combinations",,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AC&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD01,epinephrine,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD02,benzydamine,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD05,acetylsalicylic acid,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD06,adrenalone,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD07,amlexanox,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD08,becaplermin,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AD,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,Other agents for local oral treatment,A01AD11,various,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AD&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A02,https://atcddd.fhi.no/atc_ddd_index/?code=A02&showdescription=no,DRUGS FOR ACID RELATED DISORDERS,A02A,https://atcddd.fhi.no/atc_ddd_index/?code=A02A&showdescription=no,ANTACIDS,A02AA,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,Magnesium compounds,A02AA01,magnesium carbonate,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A02,https://atcddd.fhi.no/atc_ddd_index/?code=A02&showdescription=no,DRUGS FOR ACID RELATED DISORDERS,A02A,https://atcddd.fhi.no/atc_ddd_index/?code=A02A&showdescription=no,ANTACIDS,A02AA,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,Magnesium compounds,A02AA02,magnesium oxide,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A02,https://atcddd.fhi.no/atc_ddd_index/?code=A02&showdescription=no,DRUGS FOR ACID RELATED DISORDERS,A02A,https://atcddd.fhi.no/atc_ddd_index/?code=A02A&showdescription=no,ANTACIDS,A02AA,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,Magnesium compounds,A02AA03,magnesium peroxide,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A02,https://atcddd.fhi.no/atc_ddd_index/?code=A02&showdescription=no,DRUGS FOR ACID RELATED DISORDERS,A02A,https://atcddd.fhi.no/atc_ddd_index/?code=A02A&showdescription=no,ANTACIDS,A02AA,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,Magnesium compounds,A02AA04,magnesium hydroxide,3,g,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A02,https://atcddd.fhi.no/atc_ddd_index/?code=A02&showdescription=no,DRUGS FOR ACID RELATED DISORDERS,A02A,https://atcddd.fhi.no/atc_ddd_index/?code=A02A&showdescription=no,ANTACIDS,A02AA,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,Magnesium compounds,A02AA05,magnesium silicate,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A02AA&showdescription=no,0
